epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0574,0.70301,9.55156,0.00755,0.01083,0.9902,0.26744,0.22451,0.4524,4.87866,0.00638,0.0003125,0.0003125,0.0003125
2,57.1472,0.75393,8.26254,0.00774,0.00707,0.9902,0.37001,0.29129,0.76908,4.59915,0.01166,0.000574388,0.000574388,0.000574388
3,66.4732,0.81501,7.4866,0.0085,0.91666,0.16667,0.39943,0.30155,0.96153,3.97976,0.01512,0.000771925,0.000771925,0.000771925
4,76.5969,0.74272,6.5714,0.00757,0.65024,0.07095,0.36587,0.2651,0.88832,4.03919,0.0131,0.00087875,0.00087875,0.00087875
5,84.3698,0.76088,6.05342,0.00792,0.30212,0.3845,0.45292,0.32361,1.10677,3.39528,0.01733,0.000755,0.000755,0.000755
6,94.6829,0.7152,5.47154,0.00733,0.43448,0.55229,0.54029,0.42761,0.90317,2.70483,0.01406,0.00063125,0.00063125,0.00063125
7,102.907,0.67693,4.89233,0.00672,0.45518,0.72004,0.58666,0.44854,1.03852,2.25855,0.01617,0.0005075,0.0005075,0.0005075
8,112.621,0.66796,4.56295,0.00707,0.55404,0.6732,0.64687,0.53269,0.82554,1.84508,0.01263,0.00038375,0.00038375,0.00038375
9,122.882,0.61943,4.33472,0.00639,0.65761,0.74197,0.69033,0.53179,0.95877,1.73533,0.01471,0.00026,0.00026,0.00026
10,130.964,0.55046,4.09801,0.00552,0.62592,0.74214,0.68869,0.54315,0.8994,1.6044,0.01394,0.00013625,0.00013625,0.00013625
